dateTime,level,logID,seconds,date,hour,min,sec,nnn
2018-09-08T23:53:30.000,asleep,19454971019,180,2018-09-08,23,53,30,000
2018-09-08T23:56:30.000,restless,19454971019,60,2018-09-08,23,56,30,000
2018-09-08T23:57:30.000,asleep,19454971019,960,2018-09-08,23,57,30,000
2018-09-09T00:13:30.000,restless,19454971019,60,2018-09-09,00,13,30,000
2018-09-09T00:14:30.000,asleep,19454971019,180,2018-09-09,00,14,30,000
2018-09-09T00:17:30.000,restless,19454971019,60,2018-09-09,00,17,30,000
2018-09-09T00:18:30.000,asleep,19454971019,720,2018-09-09,00,18,30,000
2018-09-09T00:30:30.000,restless,19454971019,300,2018-09-09,00,30,30,000
2018-09-09T00:35:30.000,asleep,19454971019,60,2018-09-09,00,35,30,000
2018-09-09T00:36:30.000,restless,19454971019,60,2018-09-09,00,36,30,000
2018-09-09T00:37:30.000,asleep,19454971019,840,2018-09-09,00,37,30,000
2018-09-09T00:51:30.000,restless,19454971019,60,2018-09-09,00,51,30,000
2018-09-09T00:52:30.000,asleep,19454971019,1260,2018-09-09,00,52,30,000
2018-09-09T01:13:30.000,restless,19454971019,180,2018-09-09,01,13,30,000
2018-09-09T01:16:30.000,asleep,19454971019,60,2018-09-09,01,16,30,000
2018-09-09T01:17:30.000,restless,19454971019,60,2018-09-09,01,17,30,000
2018-09-09T01:18:30.000,asleep,19454971019,420,2018-09-09,01,18,30,000
2018-09-09T01:25:30.000,restless,19454971019,120,2018-09-09,01,25,30,000
2018-09-09T01:27:30.000,asleep,19454971019,120,2018-09-09,01,27,30,000
2018-09-09T01:29:30.000,restless,19454971019,60,2018-09-09,01,29,30,000
2018-09-09T01:30:30.000,asleep,19454971019,5400,2018-09-09,01,30,30,000
2018-09-09T03:00:30.000,restless,19454971019,60,2018-09-09,03,00,30,000
2018-09-09T03:01:30.000,asleep,19454971019,4440,2018-09-09,03,01,30,000
2018-09-09T04:15:30.000,restless,19454971019,60,2018-09-09,04,15,30,000
2018-09-09T04:16:30.000,asleep,19454971019,2820,2018-09-09,04,16,30,000
2018-09-09T05:03:30.000,restless,19454971019,60,2018-09-09,05,03,30,000
2018-09-09T05:04:30.000,asleep,19454971019,420,2018-09-09,05,04,30,000
2018-09-09T05:11:30.000,restless,19454971019,60,2018-09-09,05,11,30,000
2018-09-09T05:12:30.000,asleep,19454971019,2160,2018-09-09,05,12,30,000
2018-09-09T05:48:30.000,restless,19454971019,60,2018-09-09,05,48,30,000
2018-09-09T05:49:30.000,asleep,19454971019,2640,2018-09-09,05,49,30,000
2018-09-09T06:33:30.000,restless,19454971019,180,2018-09-09,06,33,30,000
2018-09-09T06:36:30.000,asleep,19454971019,60,2018-09-09,06,36,30,000
